facts,node_amount,max_depth
1,2,2
2,6,6
1,2,2
2,3,3
2,3,3
1,3,3
6,3,3
6,4,4
1,4,4
9,2,2
2,2,2
2,2,2
1,2,2
1,4,4
4,3,3
2,10,10
1,4,4
3,2,2
2,4,4
6,4,4
5,2,2
8,4,4
2,2,2
10,2,2
1,2,2
2,2,2
2,2,2
7,2,2
1,2,2
15,3,3
2,2,2
3,3,3
1,4,4
2,2,2
2,3,3
4,9,9
1,3,3
10,3,3
2,4,4
2,3,3
1,3,3
12,3,3
3,3,3
2,2,2
4,3,3
6,4,4
6,5,5
6,4,4
3,3,3
1,2,2
2,2,2
2,2,2
6,4,4
4,4,4
2,3,3
2,3,3
2,2,2
2,2,2
1,4,4
5,3,3
1,2,2
12,3,3
2,2,2
4,4,4
2,3,3
5,2,2
8,2,2
2,2,2
2,2,2
3,2,2
6,6,6
2,2,2
1,8,8
3,5,5
1,4,4
2,3,3
3,2,2
6,4,4
5,4,4
2,2,2
1,3,3
2,3,3
4,4,4
6,2,2
4,3,3
1,3,3
2,3,3
1,2,2
2,2,2
1,2,2
1,3,3
5,3,3
7,2,2
2,5,5
2,3,3
2,4,4
4,3,3
1,2,2
2,3,3
2,2,2
5,4,4
2,7,7
1,2,2
6,5,5
2,7,7
2,3,3
2,5,5
3,4,4
2,3,3
2,3,3
2,4,4
2,3,3
1,3,3
3,4,4
2,2,2
2,2,2
2,5,5
2,3,3
3,3,3
2,2,2
1,2,2
2,2,2
1,4,4
8,3,3
5,3,3
2,2,2
2,2,2
2,4,4
5,2,2
4,4,4
1,3,3
2,2,2
3,4,4
2,2,2
2,2,2
2,3,3
2,3,3
1,4,4
2,2,2
5,2,2
3,3,3
4,4,4
3,5,5
2,2,2
2,3,3
1,2,2
7,3,3
2,3,3
5,2,2
10,4,4
2,4,4
1,5,5
1,2,2
2,6,6
2,3,3
2,3,3
2,4,4
3,3,3
5,3,3
18,3,3
2,2,2
2,2,2
4,4,4
8,5,5
1,3,3
6,2,2
1,6,6
2,5,5
2,2,2
7,5,5
2,2,2
12,5,5
12,4,4
2,3,3
6,4,4
2,3,3
2,5,5
1,2,2
2,6,6
4,5,5
7,4,4
2,2,2
3,3,3
2,2,2
2,2,2
2,3,3
1,2,2
1,2,2
1,2,2
3,3,3
10,3,3
4,5,5
1,4,4
1,2,2
5,3,3
10,4,4
6,5,5
9,2,2
2,3,3
9,2,2
2,4,4
2,2,2
2,2,2
2,4,4
2,2,2
12,4,4
3,2,2
2,2,2
1,3,3
4,2,2
2,3,3
3,3,3
10,3,3
2,2,2
2,2,2
2,6,6
2,2,2
5,3,3
1,2,2
2,2,2
11,2,2
2,2,2
1,3,3
4,2,2
2,2,2
6,5,5
3,3,3
2,6,6
3,2,2
5,2,2
2,2,2
6,6,6
12,5,5
2,2,2
3,4,4
2,4,4
1,2,2
16,4,4
2,5,5
1,3,3
2,5,5
2,4,4
2,2,2
20,3,3
2,4,4
1,5,5
2,2,2
1,2,2
2,3,3
4,5,5
2,2,2
1,2,2
1,7,7
2,3,3
7,3,3
2,2,2
2,2,2
2,4,4
2,2,2
4,7,7
4,5,5
2,2,2
2,5,5
4,3,3
2,3,3
1,4,4
2,3,3
2,2,2
2,4,4
2,2,2
1,2,2
3,2,2
1,2,2
2,3,3
2,2,2
2,2,2
3,3,3
4,2,2
2,2,2
3,3,3
9,2,2
4,4,4
3,3,3
2,3,3
8,4,4
2,2,2
3,5,5
2,3,3
2,3,3
4,4,4
2,4,4
1,2,2
4,2,2
2,3,3
2,3,3
1,2,2
2,3,3
2,2,2
2,5,5
4,4,4
2,2,2
1,3,3
6,2,2
10,4,4
4,2,2
3,2,2
1,4,4
3,2,2
10,4,4
2,4,4
10,4,4
2,2,2
2,2,2
1,3,3
2,3,3
6,3,3
2,5,5
4,3,3
2,3,3
2,9,9
1,9,9
1,2,2
2,2,2
2,2,2
3,4,4
10,3,3
2,2,2
10,6,6
2,5,5
2,2,2
2,6,6
2,2,2
4,3,3
4,2,2
2,2,2
2,8,8
2,3,3
2,3,3
2,5,5
10,4,4
1,3,3
2,2,2
2,3,3
11,3,3
6,5,5
1,6,6
2,5,5
2,4,4
2,2,2
2,4,4
7,2,2
2,3,3
2,2,2
6,5,5
2,2,2
2,2,2
5,2,2
2,3,3
3,3,3
2,2,2
5,2,2
2,3,3
2,7,7
5,3,3
1,2,2
5,2,2
2,2,2
6,2,2
2,5,5
2,2,2
2,2,2
3,3,3
10,5,5
6,2,2
2,2,2
2,2,2
4,3,3
